image_name,scale,center_w,center_h,ofd_1_x,ofd_1_y,ofd_2_x,ofd_2_y,bpd_1_x,bpd_1_y,bpd_2_x,bpd_2_y,SubjectID,px_to_mm_rate,Algo,Split
009_HC.png,1.8382352941176472,400.0,270.0,376.0,147.0,486.0,287.0,489,172,373,262,,0.121525358863,,Train
033_HC.png,1.8382352941176472,400.0,270.0,466.0,210.0,200.0,272.0,358,349,308,133,,0.0971650498585,,Train
041_HC.png,1.8382352941176472,400.0,270.0,212.0,182.0,396.0,445.0,415,236,193,391,,0.08545551259639997,,Train
045_HC.png,1.6640625,400.0,270.0,547.0,121.0,224.0,453.0,521,419,250,155,,0.0550714298919,,Train
068_HC.png,1.71875,400.0,270.0,625.0,90.0,290.0,429.0,599,399,316,120,,0.0606386991869,,Train
070_HC.png,1.8382352941176472,400.0,270.0,561.0,201.0,485.0,452.0,629,359,417,295,,0.0955619017283,,Train
077_HC.png,1.8382352941176472,400.0,270.0,473.0,186.0,489.0,473.0,598,323,364,336,,0.0921539962292,,Train
084_HC.png,1.3203125,400.0,270.0,351.0,82.0,560.0,359.0,582,124,328,316,,0.0733919047257,,Train
088_HC.png,1.30078125,400.0,270.0,297.0,89.0,541.0,350.0,529,117,309,322,,0.07792245596649999,,Train
100_2HC.png,1.8382352941176472,400.0,270.0,568.0,332.0,353.0,357.0,472,439,449,250,,0.129033770317,,Train
122_HC.png,1.8382352941176472,400.0,270.0,301.0,268.0,539.0,401.0,477,232,363,436,,0.113811194897,,Train
133_2HC.png,1.8382352941176472,400.0,270.0,595.0,221.0,230.0,296.0,440,393,385,123,,0.0970085423726,,Train
147_HC.png,1.8382352941176472,400.0,270.0,204.0,281.0,632.0,297.0,425,111,411,467,,0.08190228802260001,,Train
164_2HC.png,1.8382352941176472,400.0,270.0,128.0,258.0,580.0,267.0,357,84,350,441,,0.0943789279686,,Train
178_HC.png,1.8382352941176472,400.0,270.0,191.0,228.0,511.0,265.0,366,114,336,378,,0.136271119118,,Train
201_HC.png,1.9430740037950671,400.0,270.0,138.0,225.0,720.0,319.0,464,54,394,490,,0.0947194279365,,Train
230_HC.png,1.9612903225806453,400.0,270.0,77.0,232.0,716.0,308.0,423,52,371,489,,0.0923480093479,,Train
235_2HC.png,1.39453125,400.0,270.0,626.0,273.0,188.0,285.0,412,457,402,102,,0.134443471561,,Train
266_HC.png,1.8382352941176472,400.0,270.0,162.0,301.0,645.0,333.0,416,128,391,506,,0.125963240862,,Train
303_HC.png,1.8382352941176472,400.0,270.0,151.0,216.0,668.0,306.0,443,67,376,455,,0.118201211804,,Train
355_HC.png,1.28125,400.0,270.0,208.0,195.0,604.0,282.0,441,81,372,396,,0.157376043499,,Train
359_2HC.png,1.65234375,400.0,270.0,129.0,281.0,669.0,294.0,405,76,394,498,,0.117375795231,,Train
360_HC.png,1.9977229601518025,400.0,270.0,71.0,194.0,432.0,375.0,321,146,182,423,,0.155726205558,,Train
375_HC.png,1.8382352941176472,400.0,270.0,212.0,234.0,655.0,264.0,446,69,421,429,,0.127206230775,,Train
383_HC.png,1.47265625,400.0,270.0,538.0,103.0,197.0,346.0,470,368,266,81,,0.14094137294,,Train
413_HC.png,1.9187855787476282,400.0,270.0,84.0,246.0,622.0,297.0,372,63,333,480,,0.113854381171,,Train
423_HC.png,1.8702087286527516,400.0,270.0,632.0,236.0,92.0,345.0,405,504,319,77,,0.11687345283,,Train
426_2HC.png,1.8382352941176472,400.0,270.0,693.0,283.0,193.0,300.0,450,492,437,90,,0.10005594492,,Train
467_HC.png,1.8382352941176472,400.0,270.0,665.0,234.0,347.0,253.0,513,359,499,128,,0.202178593838,,Train
479_HC.png,2.0584440227703986,400.0,270.0,61.0,223.0,614.0,314.0,372,56,302,481,,0.113795968619,,Train
484_HC.png,1.8382352941176472,400.0,270.0,132.0,267.0,681.0,275.0,409,71,404,472,,0.119845696858,,Train
502_HC.png,1.8382352941176472,400.0,270.0,687.0,296.0,122.0,306.0,408,521,400,80,,0.117650406305,,Train
531_2HC.png,1.8382352941176472,400.0,270.0,557.0,284.0,100.0,284.0,329,454,329,115,,0.139420628548,,Train
567_2HC.png,1.8459203036053138,400.0,270.0,167.0,267.0,704.0,269.0,436,49,435,488,,0.112534908766,,Train
568_HC.png,1.8382352941176472,400.0,270.0,153.0,301.0,620.0,309.0,390,116,383,495,,0.132402244367,,Train
573_HC.png,1.8382352941176472,400.0,270.0,243.0,324.0,616.0,332.0,434,166,426,490,,0.165555556615,,Train
621_HC.png,1.8580645161290326,400.0,270.0,134.0,242.0,706.0,268.0,430,40,410,471,,0.12174270502,,Train
652_HC.png,1.9734345351043645,400.0,270.0,75.0,291.0,560.0,320.0,329,124,306,487,,0.1635005974,,Train
671_2HC.png,1.8382352941176472,400.0,270.0,619.0,188.0,138.0,282.0,417,432,340,38,,0.174401546347,,Train
672_HC.png,1.8382352941176472,400.0,270.0,182.0,257.0,673.0,284.0,439,69,416,473,,0.166355927785,,Train
677_2HC.png,1.171875,400.0,270.0,537.0,173.0,247.0,339.0,463,381,321,131,,0.230389299064,,Train
716_HC.png,1.8382352941176472,400.0,270.0,145.0,326.0,587.0,328.0,367,154,365,500,,0.240690751248,,Train
003_HC.png,1.8382352941176472,400.0,270.0,286.0,355.0,546.0,360.0,418,248,414,467,,0.0912911675193,,Train
050_HC.png,1.3984375,400.0,270.0,204.0,131.0,512.0,372.0,461,119,255,383,,0.0591132570716,,Train
013_HC.png,1.33984375,400.0,270.0,289.0,130.0,542.0,407.0,526,168,305,369,,0.06191832783780001,,Train
051_HC.png,1.52734375,400.0,270.0,347.0,62.0,457.0,440.0,569,203,236,300,,0.061876192505,,Train
