index,image_name,scale,center_w,center_h,tad_1_x,tad_1_y,tad_2_x,tad_2_y,apad_1_x,apad_1_y,apad_2_x,apad_2_y,px_to_mm_rate,mm_dist,Algo,SubjectID,Split
17,001_AC.jpg,2.610294117647059,568.0,393.5,585,190,376,459,650,408,335.0,222.0,,,,,Train
18,001_2AC.jpg,2.610294117647059,568.0,394.0,640,201,444,467,721,418,386.0,243.0,,,,,Train
19,002_AC.jpg,2.2058823529411766,480.0,360.0,388,511,542,88,254,229,675.0,368.0,0.174520069808028,,,,Train
20,002_2AC.jpg,2.2058823529411766,480.0,360.0,421,524,430,123,218,308,604.0,316.0,0.186125211505922,,,,Train
21,002_3AC.jpg,2.2058823529411766,480.0,360.0,439,79,605,432,685,169,364.0,346.0,0.235690235690236,,,,Train
22,002_4AC.jpg,2.2058823529411766,480.0,360.0,375,113,582,542,666,203,323.0,435.0,0.204545454545455,,,,Train
12,002_5AC.jpg,2.2058823529411766,480.0,360.0,262,542,557,250,260,269,557.0,545.0,0.188976377952756,,,,Train
29,005_5AC.jpeg,2.2058823529411766,480.0,360.0,404,308,523,550,605,356,342.0,495.0,,,,,Train
43,011_AC.png,3.685661764705882,802.0,426.0,775,160,1044,653,1142,257,676.0,521.0,,,,,Train
1,020_AC.jpeg,2.1920955882352944,477.0,329.0,458,202,439,480,594,343,318.0,329.0,0.174897119341564,,,,Train
2,020_2AC.jpeg,2.610294117647059,568.0,392.5,604,529,413,73,275,376,734.0,234.0,0.15645371577575,,,,Train
3,020_3AC.jpeg,2.1920955882352944,477.0,329.0,424,86,431,553,666,323,195.0,328.0,0.197472353870458,,,,Train
4,020_4AC.jpeg,2.1920955882352944,477.0,329.0,417,83,415,615,692,323,133.0,346.0,0.196629213483146,,,,Train
5,020_5AC.jpeg,2.1920955882352944,477.0,329.0,418,56,418,536,689,285,133.0,303.0,0.197160883280757,,,,Train
7,022_AC.jpeg,2.1920955882352944,477.0,329.0,418,104,380,517,597,288,182.0,277.0,0.212355212355212,,,,Train
6,022_2AC.jpeg,2.1920955882352944,477.0,329.0,466,139,448,509,683,314,253.0,313.0,0.211864406779661,,,,Train
10,023_AC.jpeg,2.1920955882352944,477.0,329.0,454,472,454,158,310,317,649.0,307.0,0.139616055846422,,,,Train
8,023_2AC.jpeg,2.1920955882352944,477.0,329.0,386,444,458,199,298,255,560.0,364.0,0.193661971830986,,,,Train
9,023_3AC.jpeg,2.1920955882352944,477.0,329.0,462,502,454,216,303,344,623.0,330.0,0.179968701095462,,,,Train
44,024_AC.jpeg,2.610294117647059,568.0,394.0,658,590,603,242,452,425,825.0,376.0,0.126760563380282,,,,Train
45,024_2AC.jpeg,2.1920955882352944,477.0,329.0,405,537,498,163,302,318,671.0,382.0,0.203389830508475,,,,Train
46,024_3AC.jpeg,2.1920955882352944,477.0,329.0,406,538,499,165,303,316,666.0,384.0,0.203389830508475,,,,Train
47,024_4AC.jpeg,2.1920955882352944,477.0,329.0,500,526,616,144,355,270,761.0,417.0,0.184,,,,Train
48,024_5AC.jpeg,2.1920955882352944,477.0,329.0,448,161,684,487,710,199,399.0,439.0,0.261865793780687,,,,Train
49,027_AC.jpeg,2.1920955882352944,477.0,329.0,527,69,533,516,743,262,304.0,257.0,0.227272727272727,,,,Train
23,027_2AC.jpeg,2.1920955882352944,477.0,329.0,489,503,489,201,331,324,660.0,338.0,0.139344262295082,,,,Train
11,028_AC.jpeg,2.1920955882352944,477.0,329.0,456,165,483,494,319,329,623.0,292.0,0.162037037037037,,,,Train
50,028_2AC.jpeg,2.610294117647059,568.0,394.5,616,175,555,719,819,473,288.0,311.0,0.191798941798942,,,,Train
51,028_3AC.jpeg,2.610294117647059,568.0,393.0,715,206,488,697,834,555,383.0,270.0,0.191798941798942,,,,Train
52,028_4AC.jpeg,2.1920955882352944,477.0,329.0,338,498,471,139,233,240,616.0,396.0,0.3125,,,,Train
53,028_5AC.jpeg,2.1920955882352944,477.0,329.0,426,480,566,47,295,135,735.0,342.0,0.254237288135593,,,,Train
54,028_6AC.jpeg,2.1920955882352944,477.0,329.0,298,452,530,60,218,135,627.0,387.0,0.254237288135593,,,,Train
55,029_AC.jpeg,2.610294117647059,568.0,394.5,583,520,453,284,384,461,627.0,332.0,0.176651305683564,,,,Train
56,029_2AC.jpeg,2.1920955882352944,477.0,329.0,422,616,334,164,138,420,633.0,344.0,0.172413793103448,,,,Train
57,029_3AC.jpeg,2.1920955882352944,477.0,329.0,522,564,468,157,289,396,731.0,328.0,0.212765957446809,,,,Train
58,030_AC.jpeg,2.1920955882352944,477.0,329.0,474,116,478,557,707,298,246.0,356.0,0.227272727272727,,,,Train
59,030_2AC.jpeg,2.1920955882352944,477.0,329.0,454,134,472,536,694,344,263.0,340.0,0.227272727272727,,,,Train
60,030_3AC.jpeg,2.1920955882352944,477.0,329.0,438,92,511,456,661,234,276.0,331.0,0.304259634888438,,,,Train
61,030_4AC.jpeg,2.1920955882352944,477.0,329.0,321,78,463,525,629,202,167.0,364.0,0.227670753064799,,,,Train
62,030_5AC.jpeg,2.1920955882352944,477.0,329.0,531,125,422,438,667,334,294.0,223.0,0.304259634888438,,,,Train
24,030_6AC.jpeg,2.1920955882352944,477.0,329.0,535,213,426,552,682,420,299.0,311.0,0.142276422764228,,,,Train
123,031_AC.png,1.803768382352941,392.5,311.0,398,86,398,412,540,240,214.0,260.0,,,,,Train
128,034_AC.png,2.506893382352941,545.5,395.5,372,737,330,213,94,473,662.0,452.0,,,,,Train
116,035_2AC.png,2.378216911764706,517.5,397.0,348,568,393,69,110,256,619.0,333.0,,,,,Train
117,035_3AC.png,2.477022058823529,539.0,396.0,478,615,501,156,229,314,733.0,391.0,,,,,Train
118,035_4AC.png,2.4724264705882355,538.0,395.5,336,641,590,201,256,278,663.0,537.0,,,,,Train
120,051_AC.png,5.119485294117648,1114.0,752.0,1155,945,1173,221,741,551,1593.0,611.0,,,,,Train
