index,image_name,scale,center_w,center_h,ofd_1_x,ofd_1_y,ofd_2_x,ofd_2_y,bpd_1_x,bpd_1_y,bpd_2_x,bpd_2_y,SubjectID,px_to_mm_rate,Algo,Split
0,Patient00683_Plane3_1_of_2.png,3.4321406035536,480.5,331.5,731.0,318.0,153.0,230.0,479,27,404.0,522.0,683.0,0.180412371134021,,Train
1,Patient00685_Plane3_3_of_3.png,4.16823252197896,480.5,331.5,72.0,343.0,781.0,283.0,452,615,401.0,11.0,685.0,0.138888888888889,,Train
2,Patient00721_Plane3_1_of_3.png,2.20887415100939,320.0,196.0,132.0,195.0,497.0,175.0,322,331,306.0,38.0,721.0,0.1470588235294118,AlokaFit,Train
3,Patient00738_Plane3_3_of_4.png,2.8208559829617,320.0,196.0,65.0,193.0,553.0,169.0,318,367,300.0,-4.0,738.0,0.0892857142857142,AlokaFit,Train
4,Patient00750_Plane3_2_of_3.png,1.94298064481198,320.0,196.0,532.0,204.0,213.0,123.0,408,25,337.0,302.0,750.0,0.1515151515151515,AlokaFit,Train
5,Patient00752_Plane3_2_of_3.png,2.55425176291387,320.0,196.0,102.0,201.0,540.0,190.0,325,360,317.0,31.0,752.0,0.1219512195121951,AlokaFit,Train
6,Patient00753_Plane3_2_of_2.png,2.52318053233271,320.0,196.0,536.0,203.0,113.0,155.0,343,13,306.0,344.0,753.0,0.1428571428571428,AlokaFit,Train
7,Patient00768_Plane3_2_of_3.png,2.57727921236015,320.0,196.0,107.0,220.0,548.0,187.0,339,373,315.0,34.0,768.0,0.1136363636363636,AlokaFit,Train
8,Patient00769_Plane3_1_of_3.png,2.43165095373626,320.0,196.0,546.0,229.0,138.0,169.0,366,36,318.0,362.0,769.0,0.1428571428571428,AlokaFit,Train
9,Patient00811_Plane3_4_of_5.png,2.19232776790993,320.0,196.0,509.0,251.0,148.0,99.0,379,53,277.0,297.0,811.0,0.1041666666666667,AlokaFit,Train
10,Patient00812_Plane3_1_of_3.png,1.95703062490524,320.0,196.0,198.0,163.0,528.0,155.0,366,294,360.0,24.0,812.0,0.125,AlokaFit,Train
11,Patient00869_Plane3_2_of_3.png,2.34823373475141,320.0,196.0,523.0,196.0,119.0,191.0,324,26,319.0,361.0,869.0,0.0925925925925925,AlokaFit,Train
12,Patient00940_Plane3_2_of_2.png,2.87435663653943,479.5,330.5,134.0,312.0,627.0,292.0,388,491,373.0,113.0,940.0,0.184210526315789,,Train
13,Patient00966_Plane3_1_of_2.png,3.29003015659988,479.5,330.5,239.0,341.0,804.0,305.0,536,547,507.0,99.0,966.0,0.161290322580645,,Train
14,Patient00990_Plane3_1_of_3.png,3.8841313495498,479.5,330.5,136.0,399.0,768.0,269.0,502,576,402.0,92.0,990.0,0.181034482758621,,Train
15,Patient01035_Plane3_1_of_1.png,2.21573771152127,320.0,196.0,153.0,193.0,534.0,184.0,347,343,340.0,34.0,1035.0,0.0847457627118644,AlokaFit,Train
16,Patient01153_Plane3_1_of_1.png,3.14861253007417,479.5,330.5,625.0,333.0,102.0,243.0,402,64,325.0,512.0,1153.0,0.103550295857988,,Train
17,Patient01183_Plane3_3_of_4.png,3.04846850323058,479.5,330.5,710.0,307.0,200.0,289.0,463,87,448.0,510.0,1183.0,0.119453924914676,,Train
18,Patient01195_Plane3_1_of_3.png,3.2843315805819,479.5,330.5,278.0,361.0,834.0,335.0,566,569,546.0,128.0,1195.0,0.107212475633528,,Train
19,Patient01215_Plane3_3_of_4.png,2.6584177131766,320.0,196.0,562.0,204.0,120.0,158.0,359,4,322.0,359.0,1215.0,0.1428571428571428,AlokaFit,Train
20,Patient01258_Plane3_1_of_2.png,2.39781952275028,320.0,196.0,129.0,273.0,504.0,151.0,363,358,269.0,66.0,1258.0,0.1219512195121951,AlokaFit,Train
